id,initials,category,birth_year,death_year,death_age,gender
1,WOW,Positive,1903,1969,65.3,Male
2,WIN,Positive,1947,1969,21.3,Male
3,JOY,Positive,1930,1987,56.3,Male
4,VIP,Positive,1920,1973,52.3,Male
5,ACE,Positive,1884,1981,96.3,Male
6,VIP,Positive,1884,1987,102.3,Male
7,VIP,Positive,1875,1980,104.3,Male
8,JOY,Positive,1940,1984,43.3,Male
9,ACE,Positive,1920,1993,72.3,Male
10,WIN,Positive,1928,1993,64.3,Male
11,VIP,Positive,1872,1987,114.3,Male
12,ACE,Positive,1948,1971,22.3,Male
13,WIN,Positive,1938,1980,41.3,Male
14,VIP,Positive,1889,1973,83.3,Male
15,ACE,Positive,1887,1970,82.3,Male
16,JOY,Positive,1887,1990,102.3,Male
17,VIP,Positive,1897,1975,77.3,Male
18,VIP,Positive,1914,1981,66.3,Male
19,ACE,Positive,1907,1993,85.3,Male
20,VIP,Positive,1896,1983,86.3,Male
21,WIN,Positive,1921,1990,68.3,Male
22,VIP,Positive,1883,1971,87.3,Male
23,WOW,Positive,1896,1989,92.3,Male
24,WIN,Positive,1902,1988,85.3,Male
25,ACE,Positive,1909,1973,63.3,Male
26,WIN,Positive,1934,1992,57.3,Male
27,WOW,Positive,1888,1976,87.3,Male
28,WOW,Positive,1913,1990,76.3,Male
29,VIP,Positive,1919,1969,49.3,Male
30,VIP,Positive,1874,1976,101.3,Male
31,JOY,Positive,1921,1992,70.3,Male
32,WIN,Positive,1886,1986,99.3,Male
33,JOY,Positive,1876,1988,111.3,Male
34,WOW,Positive,1947,1984,36.3,Male
35,VIP,Positive,1948,1986,37.3,Male
36,VIP,Positive,1936,1988,51.3,Male
37,VIP,Positive,1897,1980,82.3,Male
38,ACE,Positive,1879,1981,101.3,Male
39,WOW,Positive,1926,1981,54.3,Male
40,VIP,Positive,1908,1978,69.3,Male
41,WOW,Positive,1881,1975,93.3,Male
42,VIP,Positive,1912,1993,80.3,Male
43,WIN,Positive,1873,1982,108.3,Male
44,WOW,Positive,1944,1992,47.3,Male
45,JOY,Positive,1893,1984,90.3,Male
46,ACE,Positive,1925,1983,57.3,Male
47,JOY,Positive,1898,1980,81.3,Male
48,WOW,Positive,1914,1977,62.3,Male
49,VIP,Positive,1916,1976,59.3,Male
50,WOW,Positive,1887,1986,98.3,Male
51,ACE,Positive,1948,1991,42.3,Male
52,WOW,Positive,1933,1986,52.3,Male
53,VIP,Positive,1946,1981,34.3,Male
54,JOY,Positive,1942,1995,52.3,Male
55,WIN,Positive,1920,1986,65.3,Male
56,JOY,Positive,1944,1983,38.3,Male
57,VIP,Positive,1878,1972,93.3,Male
58,VIP,Positive,1888,1985,96.3,Male
59,ACE,Positive,1874,1973,98.3,Male
60,WOW,Positive,1899,1990,90.3,Male
61,WOW,Positive,1904,1984,79.3,Male
62,JOY,Positive,1894,1977,82.3,Male
63,WIN,Positive,1937,1978,40.3,Male
64,WIN,Positive,1901,1992,90.3,Male
65,ACE,Positive,1895,1986,90.3,Male
