Salon,Gender,Price
Newbury Street Salon,Female,48.04
Fenway Barbers,Female,32.14
South End Studio,Male,43.93
Beacon Hill Salon,Female,48.55
Roxbury Cuts,Female,69.27
Floyd's 99,Male,37.79
Campus Cuts,Male,25.95
Newbury Street Salon,Female,50.24
Harvard Sq Hair,Female,31.97
Harvard Sq Hair,Male,19.88
Cambridge Cuts,Male,44.65
Newbury Street Salon,Female,45.56
The Cut,Female,60.34
Chinatown Barber,Female,48.39
Tremont Barber,Female,61.4
South End Studio,Male,40.66
Back Bay Hair,Female,54.98
Chinatown Barber,Male,39.83
Northeastern Salon,Male,57.31
Floyd's 99,Male,36.97
SuperCuts,Female,69.27
Boston Barber,Male,32.19
Sola Salon,Female,42.32
Floyd's 99,Male,37.38
Back Bay Hair,Female,56.04
Sola Salon,Male,39.63
Tremont Barber,Female,60.92
Boston Barber,Male,30.63
Harvard Sq Hair,Female,32.94
Cambridge Cuts,Male,44.47
Campus Cuts,Male,29.2
Northeastern Salon,Male,58.88
Floyd's 99,Male,38.18
Sola Salon,Male,36.02
Floyd's 99,Male,35.16
Northeastern Salon,Female,59.38
Floyd's 99,Male,39.41
Fenway Barbers,Male,30.72
The Cut,Female,61.94
Seaport Studio,Female,49.03
Floyd's 99,Female,39.49
Roxbury Cuts,Male,56.26
Campus Cuts,Male,30.01
Campus Cuts,Female,34.53
Sola Salon,Male,39.31
Harvard Sq Hair,Male,20.4
Campus Cuts,Female,35.52
Roxbury Cuts,Female,66.85
Floyd's 99,Female,38.48
Downtown Cuts,Male,21.91
Downtown Cuts,Female,22.68
Sola Salon,Female,44.01
SuperCuts,Male,56.85
Tremont Barber,Female,59.16
The Cut,Female,61.47
Downtown Cuts,Male,21.34
The Cut,Female,63.71
Seaport Studio,Male,42.96
South End Studio,Female,40.01
The Cut,Female,64.85
Boston Barber,Female,41.81
Boston Barber,Male,32.64
Beacon Hill Salon,Female,46.88
SuperCuts,Female,68.95
Floyd's 99,Female,40.96
Chinatown Barber,Male,44.85
Fenway Barbers,Male,28.75
South End Studio,Male,39.96
Roxbury Cuts,Female,67.13
Campus Cuts,Male,31.0
Boston Barber,Male,35.04
SuperCuts,Female,68.59
Roxbury Cuts,Male,58.71
South End Studio,Female,44.58
Boston Barber,Male,37.73
South End Studio,Male,41.95
Campus Cuts,Female,33.05
South End Studio,Female,42.57
Back Bay Hair,Male,40.08
South End Studio,Female,43.21
Beacon Hill Salon,Female,47.22
The Cut,Female,61.37
Northeastern Salon,Male,59.55
Newbury Street Salon,Male,49.65
SuperCuts,Female,69.7
South End Studio,Male,41.79
Great Clips,Male,26.98
Cambridge Cuts,Male,43.38
The Cut,Male,59.21
Boston Barber,Female,40.11
SuperCuts,Female,66.31
SuperCuts,Female,64.97
Boston Barber,Female,41.32
Boston Barber,Female,40.76
Cambridge Cuts,Female,54.27
Newbury Street Salon,Male,45.84
Fenway Barbers,Female,34.77
Campus Cuts,Male,29.1
South End Studio,Male,42.81
Boston Barber,Female,42.79
Northeastern Salon,Female,60.03
Northeastern Salon,Female,66.71
SuperCuts,Female,69.91
Tremont Barber,Male,56.3
Harvard Sq Hair,Female,28.88
Beacon Hill Salon,Male,53.0
Downtown Cuts,Female,20.02
Back Bay Hair,Male,42.85
Tremont Barber,Female,58.54
Northeastern Salon,Female,59.43
Roxbury Cuts,Female,71.29
Roxbury Cuts,Female,68.27
Northeastern Salon,Female,54.95
Downtown Cuts,Female,24.37
Beacon Hill Salon,Female,47.28
Campus Cuts,Female,36.68
SuperCuts,Female,67.77
South End Studio,Male,42.66
Back Bay Hair,Male,42.75
Boston Barber,Female,47.3
South End Studio,Male,40.53
South End Studio,Male,44.74
Floyd's 99,Female,39.49
Fenway Barbers,Female,30.5
Sola Salon,Female,43.74
Beacon Hill Salon,Female,48.07
SuperCuts,Female,66.04
South End Studio,Male,41.92
Newbury Street Salon,Male,48.69
Roxbury Cuts,Female,68.85
Tremont Barber,Female,57.93
Beacon Hill Salon,Male,49.41
Sola Salon,Female,44.88
Fenway Barbers,Male,29.78
Tremont Barber,Male,54.03
Back Bay Hair,Male,42.42
Fenway Barbers,Female,30.52
Floyd's 99,Female,38.35
Chinatown Barber,Male,43.9
Great Clips,Female,26.84
Sola Salon,Male,43.74
Boston Barber,Female,47.38
Great Clips,Female,27.98
Sola Salon,Female,40.95
Downtown Cuts,Male,22.65
Campus Cuts,Female,36.63
Downtown Cuts,Male,23.61
Northeastern Salon,Male,59.04
Beacon Hill Salon,Male,48.18
Cambridge Cuts,Male,44.97
Roxbury Cuts,Male,55.29
Sola Salon,Male,39.97
Tremont Barber,Male,52.12
South End Studio,Male,41.54
Floyd's 99,Male,38.65
Seaport Studio,Female,51.35
Harvard Sq Hair,Female,33.78
Downtown Cuts,Male,21.99
The Cut,Male,55.12
Campus Cuts,Female,34.23
Newbury Street Salon,Male,44.84
Back Bay Hair,Female,57.16
Northeastern Salon,Male,58.37
Floyd's 99,Male,38.92
Northeastern Salon,Female,61.65
Beacon Hill Salon,Male,47.09
Tremont Barber,Female,57.96
Beacon Hill Salon,Male,50.66
Boston Barber,Male,33.96
Roxbury Cuts,Female,66.42
Back Bay Hair,Male,43.11
Boston Barber,Male,35.47
Downtown Cuts,Male,20.31
The Cut,Female,63.92
Tremont Barber,Male,55.14
Seaport Studio,Female,49.97
Sola Salon,Female,44.95
Chinatown Barber,Male,43.11
Campus Cuts,Male,29.14
Boston Barber,Female,47.72
Seaport Studio,Female,46.25
Back Bay Hair,Female,56.53
Great Clips,Female,24.3
Sola Salon,Male,38.88
Great Clips,Female,26.01
Campus Cuts,Male,29.9
Roxbury Cuts,Male,55.2
Cambridge Cuts,Male,43.98
The Cut,Female,66.37
Newbury Street Salon,Female,44.54
Chinatown Barber,Male,45.36
Harvard Sq Hair,Male,21.06
Seaport Studio,Male,41.77
Downtown Cuts,Male,23.87
SuperCuts,Female,68.68
Sola Salon,Female,47.82
Boston Barber,Male,37.19
Fenway Barbers,Female,34.2
Beacon Hill Salon,Male,47.52
SuperCuts,Male,56.7
Northeastern Salon,Male,59.67
Back Bay Hair,Female,56.48
Newbury Street Salon,Female,41.04
Boston Barber,Male,33.46
Chinatown Barber,Female,46.87
Harvard Sq Hair,Male,27.08
Cambridge Cuts,Female,53.41
Chinatown Barber,Female,48.1
Chinatown Barber,Female,46.26
Newbury Street Salon,Female,48.23
The Cut,Male,57.03
Fenway Barbers,Male,32.67
Downtown Cuts,Male,20.61
Downtown Cuts,Female,26.84
Downtown Cuts,Female,20.95
Seaport Studio,Male,45.41
South End Studio,Male,41.73
Back Bay Hair,Female,55.12
Boston Barber,Female,48.11
Chinatown Barber,Male,42.36
Beacon Hill Salon,Male,47.99
Fenway Barbers,Male,32.09
The Cut,Male,53.71
Cambridge Cuts,Female,54.03
Downtown Cuts,Female,21.56
Harvard Sq Hair,Male,19.68
Harvard Sq Hair,Female,31.78
SuperCuts,Female,67.56
Downtown Cuts,Male,19.94
Cambridge Cuts,Female,51.85
Cambridge Cuts,Female,52.49
Beacon Hill Salon,Male,49.25
Boston Barber,Male,34.94
Northeastern Salon,Female,60.3
The Cut,Male,56.26
Sola Salon,Female,43.55
Fenway Barbers,Male,27.88
Tremont Barber,Male,53.69
Downtown Cuts,Male,24.37
Boston Barber,Male,35.76
Northeastern Salon,Female,59.15
Newbury Street Salon,Male,46.28
Back Bay Hair,Female,54.93
Campus Cuts,Male,29.62
The Cut,Female,64.85
Northeastern Salon,Female,62.82
Sola Salon,Male,39.28
The Cut,Female,62.52
South End Studio,Female,42.59
Harvard Sq Hair,Female,32.29
Downtown Cuts,Female,25.0
Newbury Street Salon,Male,46.04
Seaport Studio,Female,50.48
Sola Salon,Female,43.83
Great Clips,Male,28.28
Tremont Barber,Male,53.37
SuperCuts,Female,67.57
Seaport Studio,Male,43.28
Great Clips,Male,25.7
Chinatown Barber,Female,48.09
Fenway Barbers,Male,32.01
SuperCuts,Male,56.85
Sola Salon,Male,41.06
The Cut,Male,60.88
Boston Barber,Female,42.88
Seaport Studio,Male,46.01
Newbury Street Salon,Female,49.34
Back Bay Hair,Male,41.62
Campus Cuts,Male,29.02
Sola Salon,Male,39.13
Beacon Hill Salon,Male,50.48
Northeastern Salon,Female,59.49
Chinatown Barber,Female,51.54
Beacon Hill Salon,Male,48.2
The Cut,Male,58.04
Downtown Cuts,Male,24.35
Harvard Sq Hair,Male,20.51
Back Bay Hair,Male,42.11
Floyd's 99,Male,34.27
Beacon Hill Salon,Female,47.47
Fenway Barbers,Female,36.41
Great Clips,Male,26.94
The Cut,Male,55.82
SuperCuts,Female,66.37
Great Clips,Female,26.9
Fenway Barbers,Male,33.68
The Cut,Male,57.46
Back Bay Hair,Male,40.04
Harvard Sq Hair,Female,33.93
Beacon Hill Salon,Male,50.95
Great Clips,Female,28.44
Roxbury Cuts,Male,60.14
Fenway Barbers,Female,29.44
Harvard Sq Hair,Female,34.99
Cambridge Cuts,Male,43.56
Chinatown Barber,Male,40.75
SuperCuts,Male,59.29
Tremont Barber,Female,63.13
South End Studio,Female,43.41
Campus Cuts,Female,36.34
Beacon Hill Salon,Male,47.75
Great Clips,Female,26.01
SuperCuts,Male,55.89
Harvard Sq Hair,Male,20.54
Harvard Sq Hair,Male,20.41
Campus Cuts,Male,31.32
Roxbury Cuts,Male,53.89
Downtown Cuts,Female,18.43
Seaport Studio,Male,40.75
Floyd's 99,Female,39.7
The Cut,Male,57.54
Seaport Studio,Female,49.39
Chinatown Barber,Male,43.89
Campus Cuts,Male,30.03
Roxbury Cuts,Female,67.22
Back Bay Hair,Male,44.26
Floyd's 99,Male,36.26
Beacon Hill Salon,Male,45.78
Beacon Hill Salon,Female,47.85
Northeastern Salon,Male,57.91
South End Studio,Female,37.7
Beacon Hill Salon,Male,50.4
Chinatown Barber,Female,44.93
The Cut,Male,63.59
Great Clips,Male,25.86
Boston Barber,Female,43.56
Fenway Barbers,Female,33.13
SuperCuts,Male,59.9
Chinatown Barber,Male,42.82
Boston Barber,Female,44.06
Back Bay Hair,Female,58.63
Beacon Hill Salon,Male,45.24
Harvard Sq Hair,Female,31.52
Cambridge Cuts,Female,52.25
Cambridge Cuts,Male,42.45
South End Studio,Female,38.88
Floyd's 99,Female,36.66
Newbury Street Salon,Male,51.53
Harvard Sq Hair,Male,19.52
Newbury Street Salon,Male,46.37
Tremont Barber,Female,57.44
Campus Cuts,Female,38.51
Tremont Barber,Male,56.94
Downtown Cuts,Female,23.94
Beacon Hill Salon,Male,49.62
Northeastern Salon,Male,55.58
Floyd's 99,Male,38.34
Great Clips,Female,26.63
Northeastern Salon,Female,55.74
Downtown Cuts,Male,22.1
The Cut,Female,61.88
The Cut,Male,58.63
Back Bay Hair,Female,60.33
Floyd's 99,Female,42.03
Northeastern Salon,Male,55.32
Cambridge Cuts,Female,50.44
Newbury Street Salon,Female,48.29
Seaport Studio,Female,47.55
Seaport Studio,Female,48.46
Back Bay Hair,Male,42.86
Newbury Street Salon,Male,48.99
Sola Salon,Female,44.37
SuperCuts,Female,66.85
Northeastern Salon,Male,59.24
Newbury Street Salon,Male,47.3
Campus Cuts,Female,35.49
Downtown Cuts,Male,24.95
Fenway Barbers,Male,29.91
Floyd's 99,Male,39.0
Tremont Barber,Male,56.07
The Cut,Female,62.38
Downtown Cuts,Male,19.68
Downtown Cuts,Female,24.44
Tremont Barber,Female,63.89
South End Studio,Female,42.38
Downtown Cuts,Male,23.57
Sola Salon,Female,44.08
Chinatown Barber,Male,43.02
Tremont Barber,Male,54.43
Harvard Sq Hair,Female,32.24
Fenway Barbers,Female,34.64
Cambridge Cuts,Male,43.27
Floyd's 99,Male,37.61
Chinatown Barber,Male,42.69
Roxbury Cuts,Male,59.71
Floyd's 99,Male,32.58
Cambridge Cuts,Male,44.8
Northeastern Salon,Female,54.98
Boston Barber,Male,28.94
Tremont Barber,Male,57.6
Harvard Sq Hair,Female,34.89
Northeastern Salon,Female,59.39
SuperCuts,Female,70.02
Newbury Street Salon,Male,47.61
Boston Barber,Female,43.12
Boston Barber,Male,31.63
Floyd's 99,Female,42.45
Tremont Barber,Male,53.63
South End Studio,Female,39.64
Floyd's 99,Female,36.96
Sola Salon,Male,39.16
Cambridge Cuts,Female,52.44
Chinatown Barber,Female,49.33
South End Studio,Male,44.23
Cambridge Cuts,Male,39.13
Great Clips,Female,24.59
Sola Salon,Male,41.13
Floyd's 99,Female,36.93
Cambridge Cuts,Female,57.62
Floyd's 99,Female,38.67
Great Clips,Male,29.28
Beacon Hill Salon,Male,48.34
Cambridge Cuts,Female,52.74
Campus Cuts,Male,29.0
Boston Barber,Female,43.01
Harvard Sq Hair,Male,21.66
Downtown Cuts,Male,20.25
Chinatown Barber,Female,45.65
Downtown Cuts,Female,23.83
Northeastern Salon,Female,60.89
Harvard Sq Hair,Male,25.1
Newbury Street Salon,Male,51.59
Campus Cuts,Female,33.77
Campus Cuts,Male,29.22
Newbury Street Salon,Female,47.86
Sola Salon,Male,39.62
Newbury Street Salon,Female,47.53
Chinatown Barber,Female,48.2
Sola Salon,Female,44.09
Beacon Hill Salon,Female,51.06
Boston Barber,Female,45.09
Northeastern Salon,Male,63.03
SuperCuts,Female,70.2
SuperCuts,Male,58.13
South End Studio,Male,38.66
Fenway Barbers,Female,31.51
The Cut,Female,62.67
Seaport Studio,Male,43.29
Floyd's 99,Male,36.38
Newbury Street Salon,Female,49.72
Northeastern Salon,Female,60.31
Back Bay Hair,Male,38.21
Newbury Street Salon,Female,47.22
Floyd's 99,Female,38.66
Campus Cuts,Female,34.3
Harvard Sq Hair,Female,34.21
Sola Salon,Male,38.89
Great Clips,Female,27.98
Great Clips,Male,27.98
Downtown Cuts,Female,22.79
SuperCuts,Female,67.04
Chinatown Barber,Female,48.26
Harvard Sq Hair,Male,26.04
Roxbury Cuts,Male,55.52
Tremont Barber,Male,57.27
Seaport Studio,Female,47.09
Newbury Street Salon,Female,49.36
Boston Barber,Male,33.9
Campus Cuts,Male,32.6
Seaport Studio,Female,48.22
Newbury Street Salon,Male,50.24
Boston Barber,Male,36.62
Tremont Barber,Female,61.3
South End Studio,Male,40.8
Roxbury Cuts,Female,66.31
SuperCuts,Female,71.1
The Cut,Male,56.44
Downtown Cuts,Male,22.28
Tremont Barber,Female,59.84
Back Bay Hair,Female,59.23
Cambridge Cuts,Male,43.69
Harvard Sq Hair,Male,22.91
Cambridge Cuts,Female,54.29
Tremont Barber,Male,57.66
Boston Barber,Female,43.82
Cambridge Cuts,Male,45.88
Downtown Cuts,Female,22.65
The Cut,Female,66.6
Newbury Street Salon,Female,48.59
Downtown Cuts,Female,23.92
Chinatown Barber,Female,47.1
The Cut,Female,58.15
Seaport Studio,Male,43.52
Beacon Hill Salon,Female,49.94
Campus Cuts,Male,30.33
Harvard Sq Hair,Female,30.18
Roxbury Cuts,Male,56.56
SuperCuts,Female,68.05
SuperCuts,Male,57.06
Floyd's 99,Female,42.15
The Cut,Male,59.26
Harvard Sq Hair,Female,30.04
Fenway Barbers,Male,30.7
Boston Barber,Male,34.27
The Cut,Male,61.62
Back Bay Hair,Female,57.72
Chinatown Barber,Female,46.84
Floyd's 99,Male,40.18
Roxbury Cuts,Female,69.63
Boston Barber,Male,34.4
Campus Cuts,Female,34.26
Tremont Barber,Male,55.41
Tremont Barber,Male,59.74
Beacon Hill Salon,Male,48.15
Cambridge Cuts,Female,54.14
Beacon Hill Salon,Female,49.75
Chinatown Barber,Female,46.13
Campus Cuts,Male,31.51
Boston Barber,Female,45.23
Harvard Sq Hair,Male,19.95
Floyd's 99,Female,42.26
