Pair_ID,Mother_Year,Mother_Zip,Mother_Pct,Daughter_Year,Daughter_Zip,Daughter_Pct
1,1970,95266,50.9,2000,94258,50.7
2,1970,91548,39.5,2000,92740,67.6
3,1970,94019,53.7,2000,90979,62.4
4,1970,94205,69.4,2000,90518,80.7
5,1970,91369,37.8,2000,94994,12.8
6,1970,93338,37.8,2000,90783,18.3
7,1970,91758,70.4,2000,92832,99.0
8,1970,95090,55.8,2000,95276,40.1
9,1970,91518,33.5,2000,94181,79.8
10,1970,95453,51.8,2000,95832,48.8
11,1970,94918,33.7,2000,95130,37.1
12,1970,93485,33.6,2000,90138,64.7
13,1970,93686,46.4,2000,90754,82.6
14,1970,95033,7.6,2000,92954,8.0
15,1970,93053,11.0,2000,94809,4.2
16,1970,92697,31.9,2000,92456,33.8
17,1970,90191,23.8,2000,92835,35.9
18,1970,96093,47.7,2000,90580,74.1
19,1970,90933,25.7,2000,93256,29.1
20,1970,94238,16.6,2000,93267,35.9
21,1970,95989,68.4,2000,94650,99.0
22,1970,93239,37.9,2000,90396,51.1
23,1970,92216,43.2,2000,91938,54.6
24,1970,90566,16.4,2000,95783,1.0
25,1970,95379,32.2,2000,95716,1.0
26,1970,95559,44.0,2000,95254,57.4
27,1970,91135,21.3,2000,95429,22.2
28,1970,90744,48.8,2000,95986,38.8
29,1970,90673,31.2,2000,94906,40.8
30,1970,92912,36.7,2000,92590,38.5
31,1970,90531,31.2,2000,93035,63.7
32,1970,95410,75.3,2000,90170,80.9
33,1970,93022,41.8,2000,92338,25.8
34,1970,90562,23.0,2000,93240,51.9
35,1970,95630,56.8,2000,93416,54.5
36,1970,90302,20.0,2000,93569,37.0
37,1970,93768,45.8,2000,93217,36.7
38,1970,94281,6.7,2000,93485,1.0
39,1970,90510,18.1,2000,94836,23.6
40,1970,95430,45.5,2000,91842,49.2
41,1970,95466,55.3,2000,93761,71.1
42,1970,93446,45.1,2000,94553,41.5
43,1970,92204,39.9,2000,93027,1.0
44,1970,92835,36.6,2000,95422,28.7
45,1970,90795,15.4,2000,93966,39.3
46,1970,92480,29.0,2000,91602,24.7
47,1970,91524,33.7,2000,95480,30.7
48,1970,94857,61.0,2000,95381,89.9
49,1970,92195,48.2,2000,91147,33.1
50,1970,92529,10.3,2000,94327,1.0
51,1970,90435,47.8,2000,92685,47.0
52,1970,95639,35.1,2000,90112,25.9
53,1970,92039,29.8,2000,90593,8.1
54,1970,91707,53.0,2000,92440,51.8
55,1970,90069,60.6,2000,91239,76.6
56,1970,95726,58.8,2000,95984,61.9
57,1970,91905,26.9,2000,92795,38.2
58,1970,93960,36.4,2000,92415,86.7
59,1970,92952,48.0,2000,92130,42.4
60,1970,94650,59.6,2000,92854,70.1
61,1970,96157,33.4,2000,92870,23.5
62,1970,92714,38.7,2000,95196,20.1
63,1970,95394,22.1,2000,93599,10.3
64,1970,93370,20.5,2000,93804,11.4
65,1970,94596,56.6,2000,91527,69.3
66,1970,93728,66.4,2000,91970,99.0
67,1970,92405,40.7,2000,90952,25.5
68,1970,93326,60.1,2000,91503,52.6
69,1970,93547,48.5,2000,94468,50.2
70,1970,95626,30.4,2000,93337,44.0
71,1970,92304,48.5,2000,90110,58.7
72,1970,93682,69.7,2000,93987,99.0
73,1970,93222,41.4,2000,92355,1.0
74,1970,95608,70.2,2000,95320,11.7
75,1970,94375,5.0,2000,90226,1.0
76,1970,91083,56.8,2000,93012,88.5
77,1970,90446,43.6,2000,94127,6.4
78,1970,94932,36.6,2000,90614,1.0
79,1970,94851,43.7,2000,95891,61.8
80,1970,95942,6.2,2000,90099,15.9
81,1970,91593,38.0,2000,95459,13.2
82,1970,95609,48.4,2000,90811,26.3
83,1970,95527,68.6,2000,95917,46.8
84,1970,95180,32.7,2000,93338,38.9
85,1970,92776,27.4,2000,92700,14.6
86,1970,93817,33.0,2000,94910,49.1
87,1970,93054,58.5,2000,95918,1.0
88,1970,91591,47.9,2000,91020,29.1
89,1970,96005,32.5,2000,93026,6.7
90,1970,92232,51.2,2000,93529,47.9
91,1970,95119,43.7,2000,93887,33.2
92,1970,91562,59.4,2000,95183,83.4
93,1970,94273,29.4,2000,95018,1.0
94,1970,93647,36.1,2000,95507,40.6
95,1970,94943,34.9,2000,95579,52.7
96,1970,93239,15.7,2000,92980,67.1
97,1970,95345,47.3,2000,95756,38.2
98,1970,91601,46.7,2000,93341,58.4
99,1970,95701,42.1,2000,96014,1.0
100,1970,96072,37.8,2000,90797,1.0
101,1970,92057,16.5,2000,91958,41.7
102,1970,94332,34.4,2000,93067,37.6
103,1970,90710,35.8,2000,95109,69.7
104,1970,92972,27.6,2000,93021,1.0
105,1970,92733,39.1,2000,92681,55.9
106,1970,90794,49.3,2000,94442,99.0
107,1970,93100,76.0,2000,94820,90.2
108,1970,92856,45.1,2000,92949,55.6
109,1970,96031,46.6,2000,93732,50.2
110,1970,95766,40.7,2000,91102,3.3
111,1970,90027,7.5,2000,95485,45.9
112,1970,93268,41.5,2000,91038,29.0
113,1970,95323,43.1,2000,94232,59.5
114,1970,90085,86.3,2000,95424,49.2
115,1970,95952,38.5,2000,90792,11.3
116,1970,93102,47.4,2000,94175,87.9
117,1970,91123,41.4,2000,91779,35.7
118,1970,95310,21.0,2000,94801,61.9
119,1970,90012,62.6,2000,90982,63.9
120,1970,95109,55.5,2000,95538,11.2
121,1970,91749,56.2,2000,91266,82.7
122,1970,93110,25.6,2000,95171,13.7
123,1970,91877,67.3,2000,90744,88.7
124,1970,92620,16.8,2000,92432,20.8
125,1970,95414,52.6,2000,90375,16.0
126,1970,95480,81.4,2000,91754,89.0
127,1970,95775,24.2,2000,93898,84.4
128,1970,90180,31.8,2000,92537,47.9
129,1970,90797,43.8,2000,91992,45.6
130,1970,93814,32.9,2000,92929,64.1
131,1970,95564,14.1,2000,95431,22.9
132,1970,92025,43.2,2000,93447,52.0
133,1970,93218,22.9,2000,90592,1.0
134,1970,90887,50.5,2000,95162,59.9
135,1970,92469,25.5,2000,94629,55.6
136,1970,93388,69.9,2000,92570,51.6
137,1970,95286,27.9,2000,92873,68.1
138,1970,95772,36.2,2000,91177,37.2
139,1970,91520,56.6,2000,91336,37.0
140,1970,92433,19.8,2000,95414,49.0
141,1970,94867,46.1,2000,94694,42.0
142,1970,95375,65.5,2000,90113,88.5
143,1970,95055,13.1,2000,93773,8.9
144,1970,90917,45.3,2000,95232,47.1
145,1970,92071,46.7,2000,95295,62.8
146,1970,93977,56.1,2000,91846,66.9
147,1970,91782,19.7,2000,95422,1.0
148,1970,90339,18.2,2000,91988,1.0
149,1970,91517,51.4,2000,95636,78.8
150,1970,92871,47.3,2000,94830,47.3
151,1970,93583,46.5,2000,91986,36.3
152,1970,95492,48.2,2000,93293,16.4
153,1970,90915,29.8,2000,93243,5.1
154,1970,95950,46.2,2000,95092,1.0
155,1970,93291,47.3,2000,90253,48.0
156,1970,94571,29.1,2000,90124,17.0
157,1970,91447,75.6,2000,91237,53.9
158,1970,91380,50.5,2000,90624,52.1
159,1970,91484,20.6,2000,93157,33.3
160,1970,92075,53.8,2000,95636,99.0
161,1970,90801,24.5,2000,93137,1.0
162,1970,91247,56.2,2000,93390,89.5
163,1970,94960,62.9,2000,93418,91.4
164,1970,92738,27.2,2000,91656,10.4
165,1970,95268,59.3,2000,91267,67.9
166,1970,93496,49.4,2000,92946,40.9
167,1970,94835,56.8,2000,91161,64.9
168,1970,95471,76.1,2000,92295,99.0
169,1970,93258,37.6,2000,90441,56.6
170,1970,93878,28.4,2000,92093,44.9
171,1970,90982,26.0,2000,92706,18.2
172,1970,92477,27.3,2000,93760,1.0
173,1970,92089,40.6,2000,95113,38.6
174,1970,92953,48.1,2000,90554,82.7
175,1970,91012,47.0,2000,94905,10.8
176,1970,93465,56.9,2000,95067,32.9
177,1970,92751,42.2,2000,91113,48.8
178,1970,92127,68.2,2000,92778,46.0
179,1970,94813,37.2,2000,91834,20.1
180,1970,93862,91.0,2000,91315,83.3
181,1970,95904,53.3,2000,93494,21.2
182,1970,92592,26.6,2000,93139,4.7
183,1970,91474,22.7,2000,95371,44.3
184,1970,92522,50.7,2000,93113,20.2
185,1970,91166,38.0,2000,90099,1.0
186,1970,93323,54.9,2000,93926,41.9
187,1970,90610,50.5,2000,91480,72.8
188,1970,92184,40.7,2000,95711,38.9
189,1970,92532,26.8,2000,94397,18.1
190,1970,95909,14.7,2000,91223,19.2
191,1970,95432,34.0,2000,95779,1.0
192,1970,92862,57.4,2000,94584,73.6
193,1970,94651,45.9,2000,95521,59.1
194,1970,91656,19.6,2000,91005,12.3
195,1970,91756,45.1,2000,90477,74.5
196,1970,90046,48.9,2000,95242,23.1
197,1970,91260,26.1,2000,95432,58.6
198,1970,95168,44.8,2000,91136,52.1
199,1970,94639,43.0,2000,92857,37.7
200,1970,93233,21.4,2000,91706,24.2
201,1970,91452,48.4,2000,90518,49.0
202,1970,92119,52.1,2000,91221,87.0
203,1970,92568,61.5,2000,92507,37.0
204,1970,91993,61.0,2000,94326,44.6
205,1970,95009,17.2,2000,91192,47.4
206,1970,93124,25.1,2000,93881,13.0
207,1970,95165,51.3,2000,96152,77.9
208,1970,92341,51.2,2000,93244,98.6
